STT,Mã Nhóm,Tên Nhóm Sản Phẩm,Tồn Đầu SL,Tồn Đầu VNĐ,Tổng Tiền Nhập VNĐ,Tổng Tiền Xuất HĐ VNĐ,Tổng Tiền Giá Vốn VNĐ,Tồn Cuối SL,Tồn Cuối VNĐ,Nhập T1 VNĐ,Xuất T1 VNĐ,Nhập T2 VNĐ,Xuất T2 VNĐ,Nhập T3 VNĐ,Xuất T3 VNĐ,Nhập T4 VNĐ,Xuất T4 VNĐ,Nhập T5 VNĐ,Xuất T5 VNĐ,Nhập T6 VNĐ,Xuất T6 VNĐ,Nhập T7 VNĐ,Xuất T7 VNĐ,Nhập T8 VNĐ,Xuất T8 VNĐ,Nhập T9 VNĐ,Xuất T9 VNĐ,Nhập T10 VNĐ,Xuất T10 VNĐ,Nhập T11 VNĐ,Xuất T11 VNĐ,Nhập T12 VNĐ,Xuất T12 VNĐ
31.0,PC-SYS-AMD,PC Lắp Ráp AMD Ryzen,38.0,80122594.0,114267361.9078254,56336363.0,9368317.848686308,112.0,185021638.059139,1891988.971435974,0.0,0.0,0.0,3695979.491357503,0.0,2393586.340233641,2561997.569518835,0.0,0.0,0.0,0.0,0.0,2561997.569518835,18999093.93509132,0.0,18999093.93509132,0.0,16015909.8385564,0.0,52271709.3960592,0.0,0.0,4244322.709648638
32.0,PC-SYS-G,PC Văn phòng Entry (G/Celeron),2.0,2878622.0,0.0,1636364.0,1794347.490878311,1.0,1084274.509121689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1794347.490878311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,PC-SYS-I3,PC Văn phòng Core i3,61.0,297886949.0,187900072.9884996,294290910.0,234611351.9077743,70.0,251175670.0807253,0.0,12175969.29440534,5244770.823507726,5999111.235033751,41324569.60600331,26149886.05748377,45217668.61017648,26191395.58532304,0.0,47144512.05358148,12302331.23769276,5035868.497755802,0.0,15107605.49326741,15787111.73503076,19158048.0725938,0.0,9579024.0362969,25871855.47150794,30194886.25898965,42151765.50458059,32464324.5626086,0.0,5410720.760434768
34.0,PC-SYS-I5,PC Văn phòng Core i5,113.0,1390561363.0,1896784508.557629,1103017270.0,1458160612.811798,169.0,1829185258.745831,54174258.2203967,61652760.4856622,68958173.28184296,45762526.70801412,151121555.3884015,90658011.08727378,2859983.554029863,60075933.66073723,15707912.3542721,256042949.9511672,151834350.783224,44430970.31385165,61775655.41498546,282247078.0877665,278324842.6119943,271911904.1636609,289606378.0665964,107932071.8555778,23231869.98225335,15411526.38905219,16191909.64556904,77275307.23234576,782997619.2540636,144759572.8766888
35.0,PC-SYS-I7,PC Đồ họa Core i7,19.0,305256524.0,406787402.7000349,250327273.0,336417460.6336018,27.0,375626466.066433,0.0,0.0,60561260.71537604,0.0,5543969.237036254,20247426.3313,0.0,0.0,0.0,0.0,0.0,40494852.6626,34847804.97338002,20446758.53674602,194822990.1962187,127554868.3258596,105511408.5347394,43039057.2618696,0.0,21519528.6309348,5499969.043284449,63114968.88429185,0.0,0.0
36.0,PRN-BRO-DCP,Máy in Đa năng Brother (DCP),54.0,243603566.0,431930907.1037779,88472726.0,117377151.4683117,130.0,558157321.6354661,22600033.78234059,0.0,0.0,0.0,0.0,11093330.26120391,0.0,5546665.130601955,0.0,11093330.26120391,14924258.78800905,0.0,0.0,0.0,29107034.69374577,11131509.91021957,50444380.52675134,10937089.65070758,37223615.06109891,10776482.42351157,0.0,5388241.211755783,277631584.2518322,51410502.61910744
37.0,PRN-BRO-HL,Máy in Laser Brother (HL),341.0,1035712698.0,1473463324.930224,758268165.0,1012237751.052519,561.0,1496938271.877704,55427369.79932612,18872264.87158209,0.0,7548905.948632835,84539367.40129685,56154163.65064899,0.0,11230832.7301298,17812827.22206292,18724462.40649775,87329690.19318493,11151764.28747044,0.0,85496859.53727335,73979974.29720683,89354567.92365262,175446669.7402851,37289873.18577852,172530432.1490824,98695451.19377732,188565174.3222432,88853208.89309247,617831819.8055353,488865396.4239828
38.0,PRN-CAN-LBP,Máy in Laser Canon (LBP),590.0,1196333369.0,609404375.5170331,1252222715.0,841392541.6979373,736.0,964345202.8190958,30653605.44632353,61830079.99327102,8346753.023186062,17883171.06432905,21889877.14075015,185439769.1340472,61397255.6847091,56747837.14043161,79987153.14187883,270192087.742233,48069747.52044488,29695495.73942848,38358982.68298537,49824650.86061336,80981544.93674006,28392940.75184952,36273397.69901436,42898634.51592483,34073408.33931033,24851963.10391542,58176475.38188735,26846087.92844785,111196174.5198031,46789823.72344588
39.0,PRN-CAN-MF,Máy in Đa năng Canon (MF),3.0,12128502.0,10251943.50473945,10900000.0,11016806.09570869,3.0,11363639.40903075,5367970.398018198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5508403.047854347,0.0,5508403.047854347,0.0,0.0,4883973.106721253,0.0,0.0,0.0,0.0,0.0
40.0,PRN-EPS-L,Máy in Phun màu Epson (L-Series),16.0,90209052.0,126774729.8860248,65645453.0,62564384.65816787,31.0,154419397.227857,16631906.74311418,0.0,11061538.35782143,7053673.821739321,31761663.03705126,20997579.73416812,0.0,0.0,0.0,0.0,5499969.043284449,0.0,0.0,0.0,21753477.99211143,7002889.408976076,7963955.693520978,6873610.961548328,10911938.66705987,0.0,0.0,6883816.34626486,21190280.35206124,13752814.38547117
