Ngày,Số HĐ,TK Nợ,TK Có,Giá trị,Diễn giải
2023-01-03,27,131,511,510000.0,Bán ra: BEL - PHÔ MAI
2023-01-03,27,131,3331,0.0,VAT bán ra HĐ 27
2023-01-03,27,131,511,10200.0,Bán ra: SERVICE - CHIẾT KHẤU
2023-01-03,27,131,3331,0.0,VAT bán ra HĐ 27
2023-01-03,27,131,511,1974000.0,Bán ra: VS - XÚC XÍCH VISSAN
2023-01-03,27,131,3331,0.0,VAT bán ra HĐ 27
2023-01-03,28,131,511,6090000.0,Bán ra: SN - YẾN SÀO/NƯỚC YẾN
2023-01-03,28,131,3331,0.0,VAT bán ra HĐ 28
2023-01-03,28,131,511,1890000.0,Bán ra: SN - YẾN SÀO/NƯỚC YẾN
2023-01-03,28,131,3331,0.0,VAT bán ra HĐ 28
2023-01-03,28,131,511,12100000.0,Bán ra: SN - YẾN SÀO/NƯỚC YẾN
2023-01-03,28,131,3331,0.0,VAT bán ra HĐ 28
2023-01-03,28,131,511,2409600.0,Bán ra: SERVICE - CHIẾT KHẤU
2023-01-03,28,131,3331,0.0,VAT bán ra HĐ 28
2023-01-03,28,131,511,343000.0,Bán ra: VS - XÚC XÍCH VISSAN
2023-01-03,28,131,3331,0.0,VAT bán ra HĐ 28
2023-01-03,29,131,511,1890000.0,Bán ra: SN - YẾN SÀO/NƯỚC YẾN
2023-01-03,29,131,3331,0.0,VAT bán ra HĐ 29
2023-01-03,29,131,511,7260000.0,Bán ra: SN - YẾN SÀO/NƯỚC YẾN
2023-01-03,29,131,3331,0.0,VAT bán ra HĐ 29
2023-01-03,14,131,511,871200.0,Bán ra: SERVICE - CHIẾT KHẤU
2023-01-03,14,131,3331,0.0,VAT bán ra HĐ 14
2023-01-03,14,131,511,5439780.0,Bán ra: BEL - PHÔ MAI
2023-01-03,14,131,3331,0.0,VAT bán ra HĐ 14
2023-01-03,14,131,511,108796.0,Bán ra: SERVICE - CHIẾT KHẤU
2023-01-03,14,131,3331,0.0,VAT bán ra HĐ 14
2023-01-03,29,131,511,1098000.0,Bán ra: SERVICE - CHIẾT KHẤU
2023-01-03,29,131,3331,0.0,VAT bán ra HĐ 29
2023-01-03,14,131,511,2000000.0,Bán ra: NBT - BÁNH NABATI
2023-01-03,14,131,3331,0.0,VAT bán ra HĐ 14
2023-01-03,29,131,511,6863430.0,Bán ra: VS - XÚC XÍCH VISSAN
